,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
84,89.0,Santa Clara - North Central,103475.0,10.0,10.0,23.0,65.0,9.0,18.0,23.0,49.0,27.0,89.0,82.0,184.2,122.9,39.0,38.3,29.05,27.2,34.8,19.9,18.6,16.8,8.0,10.0,38.0,72.0,20.5,11% to 13%,16% to 20%,26% to 38%,10% to 15%
85,90.0,Santa Clara - Southeast,95596.0,7.0,11.0,27.5,65.0,8.0,17.0,27.0,49.0,25.0,90.0,82.0,155.1,130.5,44.4,27.6,30.1,26.8,30.9,16.5,18.6,15.9,6.0,9.0,34.0,69.0,14.2,11% to 13%,16% to 20%,22% to 26%,8% to 10%
86,91.0,Santa Clara - Southwest,120573.0,9.0,11.0,27.5,65.0,4.0,12.0,21.0,64.0,16.0,91.0,84.0,127.5,102.3,42.3,29.8,29.05,27.2,31.9,19.9,18.6,14.3,7.0,9.0,32.0,72.0,5.4,8% to 10%,15% to 16%,11% to 17%,6% to 8%
87,92.0,Santa Clara - West Central,94814.0,9.0,13.0,22.0,65.0,5.0,15.0,22.0,58.0,20.0,92.0,83.0,169.7,102.8,39.0,29.8,29.05,27.2,31.9,19.9,18.6,18.7,6.0,7.0,36.0,70.0,14.5,11% to 13%,15% to 16%,17% to 22%,6% to 8%
88,93.0,Santa Clara - South 101,70084.0,6.0,25.0,42.0,65.0,17.0,20.0,25.0,38.0,37.0,93.0,82.0,184.2,122.9,39.0,38.3,29.05,27.2,34.8,19.9,18.6,15.9,7.0,9.0,43.0,69.0,24.2,13% to 16%,20% to 23%,11% to 17%,15% to 21%
89,94.0,Saratoga - Northwestern,183109.0,6.0,4.0,27.5,65.0,11.0,4.0,13.0,82.0,4.0,94.0,86.0,123.9,103.7,31.3,18.0,29.05,20.9,31.9,19.9,18.6,3.3,9.0,7.0,17.0,79.0,0.3,3% to 8%,1% to 15%,0% to 11%,0% to 6%
90,95.0,Saratoga - Southeastern,165374.0,7.0,5.0,27.5,65.0,3.0,7.0,18.0,72.0,10.0,95.0,84.0,136.4,107.2,44.8,26.7,17.6,23.5,31.9,17.8,18.6,5.1,7.0,12.0,25.0,80.0,0.5,3% to 8%,1% to 15%,0% to 11%,0% to 6%
91,96.0,De Anza,146005.0,4.0,6.0,27.5,63.0,5.0,10.0,18.0,67.0,15.0,96.0,85.0,138.4,109.4,48.0,26.1,24.7,27.2,31.9,19.9,18.6,12.3,8.0,7.0,22.0,80.0,5.1,8% to 10%,1% to 15%,11% to 17%,0% to 6%
92,97.0,East Murphy,91976.0,12.0,15.0,27.5,65.0,12.0,17.0,22.0,49.0,29.0,97.0,81.0,157.1,160.6,39.0,29.8,29.05,27.2,31.9,19.9,18.6,20.7,7.0,10.0,38.0,74.0,33.8,13% to 16%,16% to 20%,22% to 26%,10% to 15%
93,98.0,Lakewood,87422.0,8.0,13.0,19.0,65.0,12.0,17.0,28.0,43.0,29.0,98.0,83.0,169.2,112.0,36.8,25.3,29.1,27.2,28.6,19.9,18.6,16.9,7.0,8.0,35.0,72.0,21.0,12,18,22% to 26%,8% to 10%
94,99.0,Ortega / Raynor,115877.0,7.0,6.0,8.0,73.0,5.0,8.0,18.0,70.0,13.0,99.0,86.0,113.2,108.1,37.2,18.5,20.0,27.2,31.9,19.9,18.6,15.6,7.0,7.0,28.0,79.0,10.8,9,15,11% to 17%,0% to 6%
95,100.0,Ponderosa,104042.0,9.0,11.0,17.0,65.0,7.0,10.0,18.0,64.0,17.0,100.0,85.0,135.2,115.9,28.2,28.4,23.0,21.9,31.9,19.9,18.6,20.3,8.0,8.0,34.0,77.0,22.5,13,15,11% to 17%,6% to 8%
96,101.0,Serra,116033.0,7.0,12.0,13.0,65.0,4.0,10.0,17.0,69.0,14.0,101.0,85.0,118.4,117.1,31.7,29.8,29.05,27.2,31.9,22.4,18.6,8.5,6.0,8.0,28.0,78.0,1.4,8% to 10%,15% to 16%,0% to 11%,8% to 10%
97,102.0,Washington,95554.0,7.0,15.0,26.0,65.0,9.0,12.0,24.0,56.0,21.0,102.0,83.0,169.1,138.8,42.6,31.6,29.05,27.2,31.9,19.9,18.6,19.1,6.0,8.0,34.0,77.0,25.6,13% to 16%,15% to 16%,11% to 17%,6% to 8%
98,103.0,West Murphy,101334.0,8.0,21.0,41.0,65.0,16.0,15.0,16.0,53.0,31.0,103.0,83.0,143.8,134.1,39.0,29.8,29.05,27.2,31.9,19.9,18.6,20.8,7.0,8.0,38.0,78.0,30.4,13% to 16%,20% to 23%,22% to 26%,15% to 21%
99,104.0,Los Altos/Los Altos Hills - Country Club,265972.0,9.0,14.0,27.5,65.0,11.0,16.0,11.0,84.0,0.0,104.0,88.0,112.2,86.9,39.0,29.8,29.05,27.2,31.9,19.9,18.6,5.8,8.0,8.0,17.0,87.0,2.4,3% to 8%,1% to 15%,0% to 11%,0% to 6%
100,105.0,Monte Sereno/Los Gatos - Western,139286.0,5.0,6.0,27.5,65.0,11.0,7.0,20.0,72.0,7.0,105.0,84.0,136.4,129.5,37.8,31.0,22.6,17.5,31.9,19.9,18.6,6.8,7.0,12.0,21.0,82.0,1.1,6,12,0% to 11%,0% to 6%
101,106.0,Bayshore,77778.0,9.0,14.0,8.0,65.0,11.0,16.0,43.0,40.0,0.0,106.0,83.0,140.3,123.15,39.0,29.8,29.05,27.2,31.9,19.9,18.6,12.0,5.0,5.0,47.0,91.0,0.0,3% to 8%,16% to 20%,17% to 22%,6% to 8%
102,107.0,Unincorporated - East,89423.0,9.0,14.0,27.5,65.0,11.0,28.0,41.0,19.0,28.0,107.0,84.0,140.3,123.15,39.0,29.8,29.05,27.2,31.9,19.9,18.6,5.9,12.0,15.0,74.0,62.0,7.7,13% to 16%,20% to 23%,26% to 38%,10% to 15%
103,108.0,Unincorporated - South,98362.0,11.0,14.0,17.0,65.0,21.0,19.0,34.0,26.0,40.0,108.0,82.0,151.4,147.4,39.0,29.8,32.8,41.4,39.8,19.9,18.6,12.2,6.0,10.0,50.0,72.0,30.9,10% to 11%,23% to 31%,26% to 38%,10% to 15%
104,109.0,Unincorporated - West,123551.0,5.0,9.0,27.5,65.0,11.0,9.0,28.0,61.0,9.0,109.0,86.0,109.6,96.2,25.1,29.8,33.6,27.2,31.9,19.9,18.6,7.0,7.0,11.0,30.0,78.0,5.6,8% to 10%,15% to 16%,0% to 11%,6% to 8%
