,OBJECTID_x,NGBRHD2,medhhinc,unemp,famfpl185,chldfpl185,chld_3_4_preschl,ed_lt_hs,ed_hsgrad,ed_partcoll,ed_collgrad,ed_hs,OBJECTID_y,life,cancer_mort,heart_mort,alzeihmers_mort,stroke_mort,respiratory_mort,injury_mort,diabetes_mort,hyper_mort,flu_pneum_mort,birth,birth_lw,birth_pt,preg_overobese,preg_prenatal,birth_teen,smoker,obese_adult,overobese_teen,overobese_child
19,24.0,Grant Road / Sylvan Park,98720.0,8.0,13.0,19.0,65.0,6.0,11.0,19.0,64.0,17.0,24.0,86.0,153.2,109.6,32.8,29.8,29.05,27.2,31.9,19.9,18.6,12.4,10.0,11.0,30.0,81.0,7.2,10% to 11%,1% to 15%,0% to 11%,0% to 6%
20,25.0,Miramonte/Springer Road,135895.0,4.0,14.0,27.5,65.0,11.0,10.0,15.0,70.0,10.0,25.0,84.0,104.3,127.1,39.0,29.8,29.05,27.2,31.9,19.9,18.6,13.4,6.0,7.0,23.0,80.0,2.8,8% to 10%,15% to 16%,0% to 11%,6% to 8%
21,26.0,Moffett/Whisman Road,105192.0,9.0,13.0,27.5,65.0,8.0,8.0,21.0,63.0,16.0,26.0,84.0,160.7,129.2,52.8,29.8,29.05,27.2,31.9,19.9,18.6,17.6,5.0,8.0,33.0,81.0,16.9,11% to 13%,15% to 16%,22% to 26%,6% to 8%
22,27.0,Monta Loma/Farley/Rock Street,95504.0,7.0,16.0,19.0,65.0,6.0,14.0,20.0,61.0,20.0,27.0,84.0,163.6,105.8,39.0,29.8,29.05,27.2,31.9,19.9,18.6,16.3,8.0,9.0,32.0,81.0,12.9,11% to 13%,15% to 16%,17% to 22%,6% to 8%
23,28.0,Mountain View - Central Neighborhoods,101511.0,8.0,19.0,35.0,65.0,8.0,11.0,19.0,63.0,19.0,28.0,84.0,106.4,124.4,39.0,29.8,29.05,27.2,31.9,19.9,18.6,16.2,8.0,11.0,31.0,79.0,20.5,13% to 16%,15% to 16%,17% to 22%,6% to 8%
24,29.0,San Antonio / Rengstorff,78431.0,7.0,21.0,39.0,65.0,11.0,10.0,15.0,64.0,21.0,29.0,83.0,140.3,135.8,39.0,29.8,29.05,27.2,31.9,19.9,18.6,16.2,8.0,9.0,33.0,81.0,27.0,13% to 16%,15% to 16%,0% to 11%,8% to 10%
25,30.0,Barron Park / Green Acres,121332.0,4.0,9.0,27.5,65.0,5.0,7.0,10.0,79.0,12.0,30.0,87.0,109.9,86.9,34.0,29.8,29.05,27.2,31.9,19.9,18.6,8.4,4.0,6.0,20.0,85.0,2.3,8% to 10%,1% to 15%,11% to 17%,0% to 6%
26,31.0,Downtown North / Crescent Park,119781.0,4.0,14.0,27.5,65.0,11.0,6.0,9.0,84.0,6.0,31.0,87.0,118.0,84.8,31.9,13.5,20.6,27.2,31.9,10.7,18.6,12.1,7.0,10.0,15.0,87.0,1.9,3% to 8%,1% to 15%,0% to 11%,0% to 6%
27,32.0,Midtown North / Palo Verde / Charleston Gardens,156210.0,7.0,14.0,27.5,65.0,11.0,4.0,11.0,82.0,4.0,32.0,87.0,111.9,72.8,28.7,29.8,29.05,27.2,31.9,19.9,18.6,8.5,7.0,7.0,21.0,85.0,2.3,3% to 8%,1% to 15%,0% to 11%,0% to 6%
28,33.0,Midtown South / Ventura / Charleston Meadow,119932.0,7.0,10.0,27.5,65.0,11.0,6.0,15.0,76.0,6.0,33.0,87.0,116.8,84.1,40.0,29.8,29.05,27.2,31.9,19.9,18.6,9.7,7.0,7.0,21.0,82.0,2.9,8% to 10%,1% to 15%,11% to 17%,0% to 6%
29,34.0,Professorville / Old PA / Duveneck / St Francis,156530.0,5.0,8.0,27.5,87.0,11.0,5.0,11.0,84.0,5.0,34.0,88.0,104.1,81.4,25.7,20.5,29.05,27.2,31.9,19.9,18.6,7.4,5.0,7.0,17.0,88.0,0.5,3% to 8%,1% to 15%,0% to 11%,0% to 6%
30,35.0,Stanford,33994.0,9.0,29.0,27.5,65.0,11.0,16.0,24.0,94.0,0.0,35.0,83.0,140.3,123.15,39.0,29.8,29.05,27.2,31.9,19.9,18.6,6.9,5.0,6.0,12.0,83.0,0.0,3% to 8%,1% to 15%,0% to 11%,0% to 6%
31,36.0,Almaden Valley,130338.0,6.0,9.0,13.0,68.0,8.0,10.0,26.0,56.0,18.0,36.0,84.0,123.2,128.9,25.9,20.2,22.6,20.3,19.2,19.9,18.6,7.8,5.0,8.0,36.0,80.0,8.1,6,19,11% to 17%,8% to 10%
32,37.0,Alum Rock West,44902.0,13.0,44.0,59.0,31.0,33.0,26.0,22.0,18.0,59.0,37.0,82.0,135.4,109.5,43.7,31.2,20.3,27.5,42.7,23.9,18.6,15.4,7.0,10.0,50.0,69.0,34.6,12,22,26% to 38%,15% to 21%
33,38.0,Alum Rock / East Foothills,127042.0,10.0,9.0,27.5,65.0,11.0,15.0,28.0,45.0,26.0,38.0,84.0,117.6,131.3,35.5,29.8,29.05,27.2,31.9,19.9,18.6,10.8,6.0,8.0,45.0,69.0,23.9,8% to 10%,23% to 31%,26% to 38%,10% to 15%
34,39.0,Berryessa,99252.0,9.0,18.0,22.0,48.0,14.0,17.0,30.0,39.0,31.0,39.0,83.0,155.0,110.0,25.5,32.4,28.3,19.1,31.6,13.6,14.2,11.6,8.0,10.0,31.0,66.0,13.4,10,18,22% to 26%,8% to 10%
35,40.0,Blossom Valley,108843.0,8.0,7.0,11.0,51.0,9.0,16.0,34.0,40.0,25.0,40.0,82.0,156.6,115.7,39.0,37.7,32.4,30.6,31.9,19.9,18.6,13.6,7.0,8.0,45.0,74.0,17.2,10,21,22% to 26%,8% to 10%
36,41.0,Branham / Pearl,87681.0,9.0,17.0,32.0,65.0,10.0,19.0,34.0,36.0,29.0,41.0,61.0,645.9,416.4,49.7,136.9,71.3,27.2,31.9,19.9,18.6,12.6,7.0,9.0,44.0,74.0,11.5,10% to 11%,20% to 23%,22% to 26%,10% to 15%
37,42.0,Brookwood Terrace,43796.0,13.0,42.0,54.0,65.0,40.0,24.0,20.0,17.0,64.0,42.0,67.0,417.0,217.1,39.0,29.8,29.05,27.2,31.9,19.9,18.6,18.4,5.0,6.0,51.0,71.0,58.5,13% to 16%,23% to 31%,26% to 38%,15% to 21%
38,43.0,Calabazas,139992.0,6.0,7.0,8.0,65.0,5.0,8.0,16.0,71.0,13.0,43.0,87.0,132.9,91.5,23.0,22.7,29.05,27.2,24.4,19.9,18.6,4.9,8.0,10.0,18.0,80.0,1.1,3% to 8%,1% to 15%,0% to 11%,0% to 6%
39,44.0,Cambrian Park East,91067.0,7.0,11.0,12.0,65.0,7.0,17.0,35.0,41.0,24.0,44.0,82.0,157.0,132.2,40.0,29.8,33.5,27.2,31.7,19.9,18.6,13.2,5.0,8.0,41.0,74.0,13.8,11% to 13%,20% to 23%,22% to 26%,10% to 15%
